Date,Open,High,Low,Close,Adj Close,Volume
2023-12-26,153.56,153.98,153.03,153.41,153.41,25067200
2023-12-27,153.56,154.78,153.12,153.34,153.34,31434700
2023-12-28,153.72,154.08,152.95,153.38,153.38,27057000
2023-12-29,153.1,153.89,151.03,151.94,151.94,39789000
2024-01-02,151.54,152.38,148.39,149.93,149.93,47339400
2024-01-03,149.2,151.05,148.33,148.47,148.47,49425500
2024-01-04,145.59,147.38,144.05,144.57,144.57,56039800
2024-01-05,144.69,146.59,144.53,145.24,145.24,45124800
2024-01-08,146.74,149.4,146.15,149.1,149.1,46757100
2024-01-09,148.33,151.71,148.21,151.37,151.37,43812600
2024-01-10,152.06,154.42,151.88,153.73,153.73,44421800
2024-01-11,155.04,157.17,153.12,155.18,155.18,49072700
2024-01-12,155.39,156.2,154.01,154.62,154.62,40460300
2024-01-16,153.53,154.99,152.15,153.16,153.16,41384600
2024-01-17,151.49,152.15,149.91,151.71,151.71,34953400
2024-01-18,152.77,153.78,151.82,153.5,153.5,37850200
2024-01-19,153.83,155.76,152.74,155.34,155.34,51033700
2024-01-22,156.89,157.05,153.9,154.78,154.78,43687500
2024-01-23,154.85,156.21,153.93,156.02,156.02,37986000
2024-01-24,157.8,158.51,156.48,156.87,156.87,48547300
2024-01-25,156.95,158.51,154.55,157.75,157.75,43638600
2024-01-26,158.42,160.72,157.91,159.12,159.12,51047400
2024-01-29,159.34,161.29,158.9,161.26,161.26,45270400
2024-01-30,160.7,161.73,158.49,159.0,159.0,45207400
2024-01-31,157.0,159.01,154.81,155.2,155.2,50284400
2024-02-01,155.87,159.76,155.62,159.28,159.28,76542400
2024-02-02,169.19,172.5,167.33,171.81,171.81,117154900
2024-02-05,170.2,170.55,167.71,169.66,169.66,31571474
