Date,Open,High,Low,Close,Adj Close,Volume
2023-09-13,140.95,144.98,140.87,144.85,144.85,60465200
2023-09-14,145.08,145.86,142.95,144.72,144.72,64033600
2023-09-15,142.69,143.57,140.09,140.39,140.39,102861700
2023-09-18,140.48,141.75,139.22,139.98,139.98,42823500
2023-09-19,138.7,138.84,135.56,137.63,137.63,61482500
2023-09-20,138.55,139.37,135.2,135.29,135.29,46263700
2023-09-21,131.94,132.24,129.31,129.33,129.33,70234800
2023-09-22,131.11,132.03,128.52,129.12,129.12,59904300
2023-09-25,129.36,131.78,128.77,131.27,131.27,46017800
2023-09-26,130.12,130.39,125.28,125.98,125.98,73048200
2023-09-27,125.76,127.48,124.13,125.98,125.98,66553400
2023-09-28,124.04,126.58,123.04,125.98,125.98,54555000
2023-09-29,128.2,129.15,126.32,127.12,127.12,62377600
2023-10-02,127.28,130.47,126.54,129.46,129.46,48029700
2023-10-03,128.06,128.52,124.25,124.72,124.72,51565000
2023-10-04,126.06,127.36,125.68,127.0,127.0,44203900
2023-10-05,126.71,126.73,124.33,125.96,125.96,39660600
2023-10-06,124.16,128.45,124.13,127.96,127.96,46795900
2023-10-09,126.22,128.79,124.76,128.26,128.26,38773700
2023-10-10,128.82,130.74,128.05,129.48,129.48,42178600
2023-10-11,129.74,132.05,129.61,131.83,131.83,40741800
2023-10-12,132.17,134.48,131.23,132.33,132.33,55528600
2023-10-13,132.98,133.31,128.95,129.79,129.79,45786600
2023-10-16,130.69,133.07,130.43,132.55,132.55,42832900
2023-10-17,130.39,132.58,128.71,131.47,131.47,49344600
2023-10-18,129.9,130.67,127.51,128.13,128.13,42699500
2023-10-19,130.57,132.24,127.47,128.4,128.4,60961400
2023-10-20,128.05,128.17,124.97,125.17,125.17,56343300
2023-10-23,124.63,127.88,123.98,126.56,126.56,48260000
2023-10-24,127.74,128.8,126.34,128.56,128.56,46477400
2023-10-25,126.04,126.34,120.79,121.39,121.39,74577500
2023-10-26,120.63,121.64,118.35,119.57,119.57,100419500
2023-10-27,126.2,130.02,125.52,127.74,127.74,125309300
2023-10-30,129.72,133.0,128.56,132.71,132.71,72485500
2023-10-31,132.75,133.57,131.71,133.09,133.09,51589400
2023-11-01,133.96,137.35,133.71,137.0,137.0,61529400
2023-11-02,138.73,138.81,136.47,138.07,138.07,52236700
2023-11-03,138.99,139.49,137.45,138.6,138.6,44007200
2023-11-06,138.76,140.73,138.36,139.74,139.74,44970400
2023-11-07,140.55,143.37,140.5,142.71,142.71,53553500
2023-11-08,142.97,143.12,141.22,142.08,142.08,44521700
2023-11-09,142.02,142.65,139.84,140.6,140.6,36235400
2023-11-10,140.46,143.65,139.91,143.56,143.56,49287800
2023-11-13,142.08,143.23,140.67,142.59,142.59,35680600
2023-11-14,145.0,147.26,144.68,145.8,145.8,56674600
2023-11-15,147.06,147.29,142.59,143.2,143.2,63875700
2023-11-16,140.91,143.32,139.52,142.83,142.83,49653500
2023-11-17,142.66,145.23,142.54,145.18,145.18,49636700
2023-11-20,145.13,146.63,144.73,146.13,146.13,41951200
2023-11-21,143.91,144.05,141.5,143.9,143.9,71226000
2023-11-22,144.57,147.74,144.57,146.71,146.71,45669100
2023-11-24,146.7,147.2,145.32,146.74,146.74,22378400
2023-11-27,147.53,149.26,146.88,147.73,147.73,53762400
2023-11-28,146.98,147.6,145.53,147.03,147.03,42711700
2023-11-29,147.85,148.54,145.97,146.32,146.32,40610900
2023-11-30,144.76,146.93,144.33,146.09,146.09,65814000
2023-12-01,146.0,147.25,145.55,147.03,147.03,39924600
2023-12-04,145.25,145.35,142.81,144.84,144.84,48294200
2023-12-05,143.55,148.57,143.13,146.88,146.88,46822400
2023-12-06,147.58,147.85,144.28,144.52,144.52,39679000
2023-12-07,146.15,147.92,145.34,146.88,146.88,52352800
2023-12-08,145.48,147.84,145.4,147.42,147.42,41858000
2023-12-11,145.66,146.19,143.64,145.89,145.89,50907300
2023-12-12,145.52,147.5,145.3,147.48,147.48,44944300
2023-12-13,148.12,149.46,146.82,148.84,148.84,52766200
2023-12-14,149.93,150.54,145.52,147.42,147.42,58400800
2023-12-15,148.38,150.57,147.88,149.97,149.97,110039100
2023-12-18,150.56,154.85,150.05,154.07,154.07,62512800
2023-12-19,154.4,155.12,152.69,153.79,153.79,43171300
2023-12-20,152.9,155.63,151.56,152.12,152.12,50322100
2023-12-21,153.3,153.97,152.1,153.84,153.84,36305700
2023-12-22,153.77,154.35,152.71,153.42,153.42,29480100
2023-12-26,153.56,153.98,153.03,153.41,153.41,25067200
2023-12-27,153.56,154.78,153.12,153.34,153.34,31434700
